Jahr;Originaltitel;Sprache;lemmatisierter Titel
1996;Jean de Luxemburg et les rois de France;Französisch;jean Luxemburg roi france
1996;La conquête de l’Italie du Nord;Französisch;conquête italie nord
1996;Images d’un prince idéal;Französisch;image prince idéal
1996;Jean l’Aveugle, chevalier parfait et prince idéal. Image et réalité;Französisch;jean aveugle chevalier parfait prince idéal image réalité
1997;Fecit Carolus ducere patrem suum in patriam suam. Bemerkungen zum Grab Johanns des Blinden;Deutsch;fecit carolus ducere patrem suum patriam suam bemerkungen grab johann blinden
1997;De la fondation privilégiée à la nécropole familiale. L’abbaye de Clairefontaine;Französisch;fondation privilégié nécropole familial abbaye clairefontaine
1997;Jean de Luxemburg, prince « européen »;Französisch;jean Luxemburg prince européen
1997;Memoria et fundatio. Religiöse Aspekte des Herrschaftsverständnisses eines Landesherrn in der ersten Hälfte des 14. Jahrhunderts;Deutsch;memoria fundatio religiös aspekt herrschaftsverständnisses landesherrn ersten hälfte 
1998;Jean de Luxemburg, prince idéal et chevalier parfait. Aux origines d’un mythe;Französisch;jean Luxemburg prince idéal chevalier parfait origine mythe
1998;« Regum de stirpe ». Le prince et son image. Donations, fondations et sépultures des Luxemburg dans leurs terres d’origine (première moitié du XIVe siècle);Französisch;regum stirpe prince image donation fondation sépulture Luxemburg terre origine premier moitié 
1999;Libertas ecclesiae. Das Kloster im Spannungsfeld zwischen Adelsherrschaft und Reichsfreiheit aus der Sicht der Echternacher Quellen (8.-12. Jahrhundert);Deutsch;libertas ecclesiae kloster spannungsfeld adelsherrschaft reichsfreiheit sicht echternacher 
1999;Une principauté en Empire. Le Luxemburg au Moyen Âge;Französisch;principauté empire Luxemburg moyen âge
1999;Les tombeaux des comtes de Luxemburg à Clairefontaine. Naissance et affirmation d’un lignage princier;Französisch;tombeau comte Luxemburg clairefontaine naissance affirmation lignage princier
2000;Entstehung und Entwicklung der brabantischen Städte und die Straße Flandern-Köln (11.-13. Jhdt.);Deutsch;entstehung entwicklung brabantisch stadt straße flandern köln jhdt
2000;Kloster, Graf und Bauern. Zur Frühgeschichte der Dörfer des mittleren Syrtals;Deutsch;kloster graf bauern frühgeschichte dörfer mittleren syrtals
2000;Bricht also das Ende herein? Die Lande zwischen Maas und Mosel um das Jahr tausend;Deutsch;bricht also ende herein land maas mosel jahr tausend
2000;« Dieu le veut! » ? Les croisades, voie de salut ou désastre religieux ?;Französisch;dieu veut croisade voie salut désastre religieux
2001;„Wy ritterlîche sy dâ streit!“. Kloster und Burg. Der historische Raum zur und in der Yolanda-Dichtung;Deutsch;wy ritterlîche sy dâ streit kloster burg historisch raum yolanda dichtung
2001;Débats de mémoire, devoir d’histoire. Pour une histoire critique de la mémoire;Französisch;débat mémoire devoir histoire histoire critique mémoire
2002;Du comté à l’Empire. Origines et épanouissement du Luxemburg;Französisch;comté empire origine épanouissement Luxemburg
2003;A. Dynastien : Luxemburg;Deutsch;dynastie luxemburg
2003;B.7. Weltliche Reichsfürsten(tümer) : Luxemburg;Deutsch;b weltlich reichsfürsten tümer luxemburg
2003;C.7. Luxemburg;Deutsch;luxemburg
2003;De l’entourage comtal à l’entourage royal. Le cas des Luxemburg (XIIe-première moitié du XIVe siècles);Französisch;entourage comtal entourage royal cas Luxemburg premier moitié 
